Title,Content,Topic,index
president kais saied meets bct governor,tap president republic kais saied wednesday received governor central bank tunisia bct marouane abassi informed bank financial statements profits made 2019 meeting also focused financial banking situation period general lockdown combat spread covid 19 tunisia said presidency statement president called financial institutions particularly banks leasing companies grant customers possibility deferring payment loans difficult economic situation urged bct governor send circular banks recommending not impose penalties event late payment president kais saied called stakeholders show self sacrifice pull efforts contribute national effort combat spread covid 19,Economy,10
tunisia imf agree halt 6th review adopt new programme finmin,tap tunisia international monetary fund imf agreed halt sixth review fund extended fund facility eff adopt new programme reflecting government new economic social policies minister finance mohamed nizar yaich told tap wednesday two sides currently discussing broad terms new programme added tunisia imf agreed put effect joint programme corona programme country benefit amount 400 million 1200 million dinars address global health crisis caused spread covid 19 pandemic tunisia completed six instalments imf eff concluded may 2016 worth 1 6 billion total 2 8 billion,Economy,11
foreign exchange reserves exceed 20 billion dinar bar 1st time months,tap tunisia foreign exchange reserves exceeded 20 billion dinars first time months covering 115 days import according data published central bank tunisia bct reserves 14 5 billion dinars 85 days import period 2019 means increase 6 5 billion dinars 30 days import international monetary fund imf announced disburse 400 million 1 162 billion dinars tunisia support country fight coronavirus covid 19 pandemic,Economy,12
covid 19 italy grants 50 million credit bct,tap italy deposit loans fund granted 50 million 157 million dinars financial support credit central bank tunisia italian agency development cooperation aics tunisia said press release wednesday amount help support tunisian companies may used face socio economic impact coronavirus covid 19 tunisia supporting measures implemented tunisian government statement added aics tunis said credit first step face covid 19 stressing italy tunisia continue cooperation overcome difficult circumstances together,Economy,13
utica sets platform receive claims queries business leaders,tap tunisian confederation industry trade handicrafts utica put disposal enterprises economic sectors digital platform dedicated reception various claims queries issued business leaders delicate lock fight covid 19 period utica reassured press release deal complaints queries ensure forwarded concerned public authorities order find appropriate solutions hypertext address platform https forms gle h6mczhln2ubnze2d7,Economy,14
giz provides financial support innovative agricultural ideas africa,tap bearers innovative agricultural ideas tunisia could apply financial support agricultural innovation fund german agency international cooperation giz three winners could receive 50 000 157 thousand dinars fund promotes efficiency sustainability agriculture according german agency applicants among start ups small businesses thirty countries africa including tunisia algeria morocco able benefit support agricultural innovation shall present march 31 innovations aim make agricultural food sector efficient sustainable source specified adding concerned sectors mechanisation digitisation renewable energy three winners category receive support package individually tailored innovation total value 50 000 157 thousand dinars package second place winners worth 20 000 63 thousand dinars third place 10 000 31 4 thousand dinars,Economy,15
comet calls quick solution employees stranded tunisian algerian border,tap comet company calls find quick solution employees stranded oum teboul border crossing algerian side press release published tuesday comet indicates situation occurring following decision close borders tunisian industrial group subsidiary algeria reports critical situation people stuck three days tunisian algerian border non resident citizens including women children source added comet calls tunisian authorities intervene behalf employees tunisian citizens situation place company hopes tunisian authorities able grant special dispensation cross border return home source pledges guarantee application protocols force employees submit compulsory health lockdown upon return part preventive measures coronavirus tunisia decided march 16 temporarily close land borders similar measure applied side border since march 17 algerian authorities provisions part fight spread covid 19 two neighbouring countries,Economy,16
tunisia negotiating 10 year gas supply contract algeria marzouk,tap tunisia algeria negotiating new gas supply contract tunisia period year 2020 2030 minister energy mines energy transition mongi marzouk said tuesday since december 2019 natural gas supply contract two countries completed told tap specifying monday march 23 held talks algerian counterpart mohamed akeb modalities concluding new contract soon possible marzouk reassured energy situation country especially regard supply algerian gas accounts two thirds gas consumption tunisia asserted currently department collaborates ministry finance tunisian company refining industries stir order acquire sufficient quantity oil products cover consumption three months,Economy,17
oil gas price decrease considered april minister,tap reduction prices petroleum products tunisia envisaged mid april given dropping prices international market due lower demand higher supply minister energy mining energy transition mongi marzouk said tuesday possible reduction prices also comes result evaluation average prices within framework automatic quarterly adjustment mechanism hydrocarbon prices added statement tap crude oil prices declined significantly month impacting prices petroleum products tunisia said without specifying amount envisaged decrease fuel diesel gasoline prices however specified committee charge automatic adjustment prices ministry energy charge evaluation current prices international market impact prices domestic market end march automatic oil price adjustment mechanism decided july 2016 not based price per barrel crude oil prices petroleum products refining even though 70 products imported according minister significant drop hydrocarbon prices noted march marzouk told tap adding average price products namely diesel petrol reaches 50 dollars barrel crude oil first three months 2020 state budget 2020 made basis 50 dollars per barrel crude oil first quarter year automatic price adjustment mechanism not based monthly review hydrocarbon prices quarterly review according marzouk added next review take place mid april assessing functioning automatic adjustment first three months current year minister pointed possibility adopting monthly automatic adjustment hydrocarbon prices approval prime ministry specifying ultimate objective apply monthly mechanism may 2020 order take advantage continuous reduction prices international market statistics collected evaluation petroleum product prices remain quarterly adjustment carried monthly noted last adjustment prices petroleum products tunisia dates back 30 march 2019 introducing partial increase sale prices public follows unleaded petrol increase 80 millimes 2 065 millimes litrepremium diesel increase 80 millimes 1 825 millimes litrenormal diesel increase 90 millimes 1 570 millimes litre,Economy,18
general lockdown nearly 223 complaints received inlucc,tap nearly 223 complaints received national anti corruption authority inlucc infractions related monopoly speculative practices well conditional sale breach general lockdown measures violations regarding abuse power march 24 inluc stated received complaint citizen beja saying mayor one areas beja governorate obliged citizens concerned social bonuses recently announced government go one computer centres obtain certificate justifying social situation able register list beneficiaries infringements also concern increase price food products civil servant owner shop fondouk jedidi monopoly practices increase price bread baguette 500 millimes bakers including bakery sidi fraj soukra also another anarchic bakery avenue nakhil bardo obtained subsidised flour outside legal channels stored subsidised oil premises zahrouni region citizens complaints also concern increase price bag semolina subsidized 50 dinars kasserine storage semolina ariana monopoly practices subsidised semolina well ban sale sfax violations concern increase price disinfectant gel pharmacy zahr district el hrairia sale packaged goods company selling milk derivatives industrial pole monastir violation health regulations anarchic slaughter ben arous butchery yasminet mornag road failure respect sanitary isolation citizen arrived dubai week ago claims transferred ministers trade health interior take necessary measures denounce practices contrary principles trading system inlucc calls citizens call following toll free numbers 80102222 71242628 contact regional trade directorates,Economy,19
stock exchange listing tunisie valeurs shares suspended march 24 25,tap listing tunisie valeurs shares tunis stock exchange bvmt suspended sessions march 24 25 2020 resume march 26 bvmt announced tuesday decision made request financial market council cmf following publication monday notice opening public takeover bid opa shares tunisie valeurs stock exchange explained,Economy,20
covid 19 imf shortly disburse 400 million tunisia says finmin,tap international monetary fund imf shortly disburse sum 400 million 1 162 billion tunisian dinars support tunisia fight covid 19 pandemic news announced finance minister nizar yaich private radio station sum money disbursed coming two three weeks added imf managing director kristalina georgieva said teleconference g20 monday massively step emergency finance nearly 80 countries requesting help working closely international financial institutions provide strong coordinated response added,Economy,21
government works mobilise resources manage coronavirus crisis finance minister,tap government working find ways finance state budget mobilise new resources manage additional costs caused coronavirus crisis finance minister nizar yaich said monday adding situation becoming increasingly difficult complex meeting speaker house people representatives hpr rached ghannouchi minister stressed need take decisive measures especially since coronavirus threatens countries worsen financial economic crisis country said statement hpr minister reviewed indicators public finance stressing need withstand negative impact crisis financial balance state national economic fabric ghannouchi said situation currently facing tunisia world coronavirus requires constant vigilance caution well rapid interaction stressing parliament readiness interact legislative requests government overcome current crisis stressed importance strengthening solidarity national unity joining efforts avoid worst minister finance attended hrp crisis cell meeting,Economy,22
el abassi majoul discuss covid 19 impact economy,tap main objective measures announced prime minister elyes fakhfakh saturday guarantee sustainability businesses preserve jobs citizens purchasing power governor central bank tunisia bct marouane el abassi said monday speaking meeting president tunisian confederation industry trade handicrafts utica samir majoul abassi emphasised full commitment banking sector fast efficient implementation various relevant measures benefit companies individuals also highlighted crucial role companies creation wealth importance contribution growth prime minister elyes fakhfakh announced speech nation march 21 series exceptional social economic measures costing 2 500 million dinars md protect tunisians preserve tunisia economy framework efforts spread coronavirus,Economy,23
fipa launches assistance unit companies located tunisia,tap foreign investment promotion agency fipa tunisia announced website setting permanent assistance unit lend listening ear enterprises based tunisia mainly regarding spread covid 19 pandemic country unit provide set information concerning development health situation tunisia measures taken government reduce fall global health crisis companies located tunisia structure reachable 7 days week also work collaboration fipa partners receive complaints operators support implementation solutions regarding urgent problems could face companies assist exceptional situation priority remains goog health,Economy,24
private companies continue paying employees general lockdown says utica,tap tunisian confederation industry trade handicrafts utica reassured private enterprises seek pay employees general lockdown decreed president republic march 20 till april 4 companies not resort temporary lay except cases force majeure utica pointed sunday press release confederation commended regard measures announced saturday prime minister elyes fakhfakh combat covid 19 tunisia measures worth 2 5 billion dinars provide deferral repayment bank credits citizens whose income not exceed 1 000 tnd per month also aim relieve burden enterprises deferral monthly loan payments tax payments social security charges taxes however confederation expressed wish measures implemented necessary fluidity extended transport sector handicraft service providers well enterprises partly fully affected fall covid 19 pandemic utica reassured enterprises continue supply market basic products strategic stock available,Economy,25
deliveries soft wheat barley expected tunisia april,tap deliveries soft wheat barley purchased tunisia world grain market expected april 2020 consist 125 thousand tonnes soft wheat purchased since february 24 2020 average price 233 64 tonne national observatory agriculture onagri indicated monthly newsletter shipments arrive tunisian ports next april first delivery following month according source tunisia also receive delivery 150 thousand tonnes feed barley bought last february estimated average price 206 15 per tonne international grain market recorded significant drop since outbreak coronavirus pandemic december 2019 european soft wheat prices fell 5 37 january march 2020 monthly average price 597 37 dinars per tonne january 2020 565 27 dinars per tonne march year us market soft wheat prices followed downward curve falling 7 16 first three months current year 587 77 dinars january 545 67 dinars per tonne march 2020 applies feed barley prices fell 9 11 beginning 2020 510 98 dinars january 464 43 dinars durum wheat prices evolved 6 12 reach 811 2 dinars march 510 98 dinars beginning year,Economy,26
dams water stock 15 6 march 12 onagri,tap water stock dams dropped 15 6 1 431 million cubic metres till march 12 1 694 9 million cubic metres period previous year according monthly newsletter march 2020 national observatory agriculture onagri overall day stock last three years reached 1 165 3 million cubic metres 23 stock distributed follows 88 8 north 85 centre 2 7 cap bon dam filling rate close 64 overall stock dams january 1 march 12 estimated 515 8 million cubic metres thus recording large deficit compared achieved period last year estimated 1 765 2 million cubic metres onagri added water stock distributed north 90 4 midland 4 3 cap bon 5 3,Economy,27
fakhfakh announces allocation 2 5 billion dinars address impact coronavirus,tap government taken series exceptional measures costing 2 5 billion dinars protect tunisians preserve country economy prime minister elyes fakhfakh announced address nation saturday night fakhfakh said point not leave tunisian need without support situation preserve businesses protect employees measures aim alleviate impacts covid 19 pandemic general lockdown curfew measures preserve jobs guarantee incomes workers employees civil servants reduce financial pressure 1 opening 300 md funding line support lay workers 2 allocating 150 md form subsidies benefit vulnerable low income groups persons disabilities 3 postponing repayment bank loans period 6 months people whose monthly income not exceed 1000 dinars measures businesses especially small medium enterprises smes economic operators acting account liberal professions affected stagnation cessation activities 1 deferral tax payments 3 months starting april 2 deferral payment social security contributions second quarter period 3 months 3 deferral payment bank financial institution debts period 6 months 4 rescheduling tax customs debts period 7 years 5 setting 500 md guarantee line enable companies obtain new operating works loans 6 allowing recovery vat credit within maximum period one month measures preserve companies ensure recovery 1 creation investment funds total amount 700 md restructuring capitalisation companies concerned 2 allowing totally exporting companies sell 50 total production local market instead 30 3 allowing companies revalue built non built assets included budget according real value 4 adopting tax customs amnesty taxes due 5 exempting companies concluded public contracts whose execution blocked late penalties maximum period 6 months measures consolidate strategic stocks provide additional budget 500 md support strategic medicines food products fuel stocks considering legal amendments needed provisionally suspend legal proceedings financial crime seeking halt decisions cut water electricity telephone services period two months president kais saied friday announced general lockdown country come force sunday march 22 6,Economy,28
banks resume work march 23 bct,tap banks resume work monday march 23 announced central bank tunisia bct saturday governor bct marouane el abassi said bank activated bct business continuity plan plan allows central bank carry essential tasks maintain vital services said indicating also exists level banks marouane el abbassi said banking sector operational whether ordinarily telecommuting meeting bct crisis cell another heads financial institutions held saturday central bank presence president tunisian professional association banks financial institutions aptbef habib belhaj kouider,Economy,29
passengers arriving evacuation flights subject mandatory quarantine oaca,tap passengers arriving tunisian airports board evacuation flights automatically subjected mandatory quarantine completion evacuation operation scheduled sunday civil aviation airports authority oaca said statement saturday implementation prevention measures decided national strategy new coronavirus covid19 added travellers transferred directly upon arrival quarantine places oaca said adding concerned informed place spend quarantine period people seeking welcome travellers not allowed enter tunisian airports date publication,Economy,30
covid 19 domestic flights suspended march 22 notice,tap transport logistics ministry announced saturday suspension domestic flights march 22 notice ministry explained measure taken wake decision made national security council impose general lockdown tunisia march 22 06 00 april 4 part combating coronavirus spread,Economy,31
tabc president calls immediate creation economic social council save economy,tap president tunisian african business council tabc bassem loukil called via post social media immediate formation economic social council including experts experience crisis management privileged relations international donors order save economic fabric context coronavirus pandemic ensure coronavirus pandemic not disrupt lives long term must think beyond health aspect need prepare possible scenarios socially economically feasible purpose government must act quickly immediately said according saving economic fabric components not easy task not responsibility state although great constitutional historical responsibility national interest must take precedence personal interest sectors entitled support banks financial institutions social tax administration local regional authorities help implement recovery plan ready deployed without many complications administrative blockages concluded future industrial commercial service enterprises decided next 30 days history not forgive us nothing done today coordinated practical flexible way meet eventualities may 1st,Economy,32
congestion tunis carthage airport oaca clarifications,tap congestion recorded friday morning tunis carthage international airport result scheduling several exceptional flights repatriate tunisians residing abroad well foreign nationals country civil aviation airports authority oaca said friday exceptional scheduling follows decision taken prime minister elyes fakhfakh totally close airspace friday march 20 midnight oaca added statement result stopping reservations exceptional flights large number passengers forced show friday morning front airport check counters register waiting lists agency calls understanding face exceptional situation recommends families refrain accompanying passengers also urges passengers could not repatriated contact tunisian consular services,Economy,33
kais saied stresses key contribution banking financial sector state efforts,tap president republic kais saied stressed meeting bank financial leaders thursday need identify solutions support entrepreneurs economic situation faced country also underscored sector key contribution state efforts part officials expressed readiness respond economic demands situation impacts curfew preventive measures covid 19 economic regression financial difficulties may seen businesses individuals speaking meeting governor central bank tunisia bct marouane el abassi said briefed president measures taken support problems terms liquidity credit repayment besides bringing bank services closer ensuring liquidity customers without applying additional charges added support health sector one priorities banking financial sector stressing work also focus supporting economic recovery investment part president tunisia professional association banks financial institutions aptbef habib ben haj kouider said banking financial sector support tunisian businesses ensure sustainability economy meeting also attended director general stb bank lotfi debbabi director general bh bank hichem rebai director general tunisie leasing factoring hichem zghal director general union internationale de banques uib mondher ghazali,Economy,34
must accept making sacrifice save economy businesses ezzedine saidane,tap accept making sacrifice saving economy businesses beyond health aspect coronavirus covid 19 crisis huge impact hard measure economy businesses economist ezzedine saidane said statement tap parallel efforts health level similar efforts must made prevent businesses collapsing risk results firstly lack liquidity since serious cash flow problem countrythis resolved measures taken central bank tunisia bct banks postponing maturity dates credits providing new credits necessary keep companies afloat terms payments measures also taken state ministry finance concerns postponement tax maturities even maturities relating social funds estimated added countries central banks gone keep banks afloat providing additional liquidity either directly finance part credit portfolio buy back treasury bills also finance new treasury bill issues obliged obviously said consequences debt inflation economic growth certainly negative year 2020 according important thing today save economy businesses expensive replace business collapses goes bankrupt keep afloat today even artificially waiting crisis pass going significant economic cost managing crisis objective must save economy companies way save jobs production capacity supply markets not slightest hesitation anticipate rather follow evolution crisis stressed asked whether economic financial situation country allows measures saidane considers unfortunately crisis comes time economy weakened essential indicators growth inflation rate public debt external debt trade balance deficit etc seriously deteriorated spite situation must accept sacrifice saving economy businesses avoid collapse,Economy,35
utica calls business managers contribute national covid 19 response,tap tunisian confederation industry trade handicrafts french utica called business managers contribute national efforts contain covid 19 utica said working support businesses help overcome difficult situation least damage possible purpose protect wage earners preserve economic fabric,Economy,36
volume exports imports 1st two months 2020 ins,tap tunisia foreign trade recorded volume constant price slight drop exports 0 1 drop imports 7 6 first two months 2020 compared period 2019 according data published national institute statistics ins prices fell 1 3 exports increased 5 5 imports tunisia foreign trade current values reached 7 606 8 million dinars md exports 9 925 8 md imports first two months 2020 thus recording 1 5 exports 2 5 drop imports compared period 2019 evolution foreign trade excluding energy excluding energy export prices dropped 1 9 import prices 3 9 compared first two months 2019 indeed period current year energy prices edged 9 8 exports 15 0 imports exports increased volume 26 6 agriculture agro food industries sector 4 5 mining phosphate derivatives sector hand exports textile clothing leather sector fell volume 2 4 energy lubricants 32 7 manufacturing industries 5 1 compared period 2019 imports development volume marked drop level mechanical electrical industries 15 3 textile clothing leather sector 7 9 however imports mining phosphate derivates sector rose 4 5 agriculture agro food industries sector 5 7 energy lubricants sector 4 6,Economy,37
bct takes exceptional measures reduce economic fall covid 19 crisis,tap executive board central bank tunisia bct took meeting tuesday set exceptional measures support national efforts reduce economic fall spread covid 19 regard decided reduce bct key interest rate 100 points 6 75 help ease financial burden people indebted banks giving additional purchasing power face current circumstances cut key rate also help reduce financial burden businesses particularly small medium sized enterprises smes order safeguard survival workforce bct affirmed readiness provide banks necessary funds continue activities exceptional phase hand view guaranteeing stability financial sector bct issue circular banks financial institutions including set exceptional measures aimed support economic enterprises view preserve economic fabric jobs central bank tunisia ready coordination finance ministry take additional measures necessary finally order limit travel customers bank branches order avoid risks coronavirus spread decided ensure continuity withdrawal atms free charge removal atm withdrawal fees,Economy,38
fakhfakh chairs working session coronavirus impact tourism industry,tap prime minister elyes fakhfakh wednesday chaired working session seat ministry tourism handicraft impact coronavirus covid 19 pandemic tourism industry pm listened concerns tourism professionals amid spread pandemic decisions taken majority countries close airspace session also attended minister tourism handicrafts mohamed ali toumi presidents professional tourism industry federations fth ftav prime minister affirmed commitment support various companies including tourism ones face current international crisis expected impacts tourism industry fakhfakh also emphasised importance contribution tourism sector country economy thanks particular high employment capacity commercial dynamics handicraft sector praised responsibility shown professionals sector attachment national unity support efforts fight coronavirus saying tunisia opted preventive approach limit spread pm assured necessary measures support businesses facing economic crisis taken,Economy,39
ministry transport logistics 62 repatriation flights operated since march 16,tap sixty two repatriation flights operated since march 16 ministry transport logistics announced wednesday accordance government decision close national airspace part fight spread coronavirus exception repatriation flights non resident tunisians stranded abroad foreigners stranded tunisia added flights repatriated 4900 passengers tunisia 6000 passengers abroad ministry also announced repatriation flights stop definitively friday march 20 2020 23 59 local time addition flight schedule put place ministry coordination ministry foreign affairs airlines order end repatriation operations directions ministry recalled regard repatriation flights tunisian airports strictly reserved passengers residing abroad scheduled tunisians stranded abroad strictly reserved tunisians residing tunisia not concern nationals residing abroad added passengers concerned asked produce certificates residence check bearing mind passengers already return tickets priority flights ministry called passengers concerned contact airlines confirm flights reservations provisional schedule march 19 20 2020 date departure destination airline number flights 19 03 2020 tunis paris orly transavia 1 djerba paris orly transavia 1 tunis paris cdg air france 1 tunis istanbul tunisair 2 tunis casablanca tunisair 1 tunis francfort tunisair 1 tunis paris cdg nouvelair 1 djerba paris cdg nouvelair 1 monastir cologne nouvelair 1 djerba cologne nouvelair 1 tunis paris cdg nouvelair 1 tunis lyon nouvelair 1 djerba paris cdg nouvelair 1 tunis istanbul nouvelair 2 tunis djerba paris orly tunisair 1 tunis casablanca tunisair 1 20 03 2020 tunis francfort tunisair 2 tunis gen tunisair 1 tunis montreal tunisair 1 tunis londres tunisair 1 tunis rome alitalia 2,Economy,40
bct cuts key interest rate 100 basis points 6 75,tap executive board central bank tunisia bct decided meeting tuesday cut key interest rate central bank 100 basis points 6 75 bank said statement board considers spread virus not controlled performance tourist sector well air sea transport sectors industrial sector could decline result falling exports lower demand partner countries affected difficulties importing raw materials semi products particularly china expressed statement intention closely monitor exceptional situation characterised lack visibility expected impact coronavirus according source board stressed central bank willingness take necessary measures meet banks liquidity needs support efforts contain crisis implications economic activity general businesses particular regarding evolution prices executive board noted slowdown inflation rate dropped 5 8 february 2020 year year compared 5 9 previous month 7 3 month previous year noting development due mainly deceleration food manufacturing prices regards external sector board noted decrease current account deficit first two months 2020 1 gdp compared 1 4 period previous year particularly pace widening trade deficit slowed following developments net foreign exchange reserves reached 19 104 md 109 days imports end february 2020 14 318 md 84 days imports one year earlier earlier bct reported amounted march 16 2020 19 7 billion dinars 14 3 billion dinars date previous year e 113 days import 84 days import march 2019 due expected impact coronavirus economic social situation tunisia professional organisations called measures support businesses including revision interest rate,Economy,41
cumulative tourism receipts rise 21 6 march 10 bct,tap cumulative tourism receipts risen 21 6 807 6 million dinars md march 10 compared period 2019 according data published central bank tunisia bct tuesday cumulative labour incomes turn increased 10 compared 2019 reaching 902 5 md cumulative external debt servicing amounted 1 183 8 md 1738 md march 2019 represents significant drop almost 32 concerning net foreign currency reserves amounted 19 7 billion dinars march 16 14 3 billion dinars date 2019 e 113 days import 84 days import march 2019,Economy,42
wild boar hunting suspended,tap ministry agriculture water resources fisheries monday decided suspend wild boar hunting tourist hunters 2019 2020 season decision part precautionary measures taken prevent spread coronavirus covid 19 ministry added press release monday,Economy,43
evacuation operations tunisians france foreign tourists tunisia start,tap airlines operating tunisian airports monday began evacuation tunisians residing france travellers automatically subjected self isolation measures upon arrival according tunisia civil aviation airports authority oaca companies also ensure evacuation foreign tourists tunisia co operation authorities countries concerned oaca added press release flights dedicated exclusively travellers residing abroad tourists currently tunisia flights departing tunisian airports travellers residing tunisia currently france flights departing french airports presentation documents justifying place residence time check evacuation operations part implementation government decisions relating prevention new coronavirus,Economy,44
tunisian fishing ports shut foreign boats apip,tap agency ports fishing facilities french apip called members comply starting march 16 notice measures adopted following decisions prime ministry prevent spread coronavirus said statement ministry agriculture fisheries water resources measures follows total shutdown maritime borders banning entry foreign boats fishing pleasure tunisian ports compulsory quarantine harbour boats regardless nationality exception tunisian fishing boats total shutdown entry pointsand prohibition entry fishing ports persons whose activities not directly related activities port concerned shutdown cafes restaurants inside port 4 00 p suspension collective prayers including friday prayers port mosque,Economy,45
